,vpsu,vstrat,mar1,mar2,adults,age,attend,babies,bible,blkwhite,born,cappun,childs,class,cohort,comprend,coninc,coop,courts,dateintv,degree,dwelling,earnrs,educ,eth1,ethnic,ethnum,famgen,family16,feeused,finalter,finrela,form,formwt,fund,fund16,gender1,gender2,god,granborn,happy,health,hefinfo,hhrace,hhtype,hhtype1,hispanic,hompop,id,incom16,income,income06,indus80,intage,intethn,inthisp,intrace1,intsex,intyrs,isco681,isco88,lngthinv,marital,mobile16,mode,natpark,natroad,natsoc,occ80,old1,old2,othlang,oversamp,parborn,partyid,permoral,phone,polviews,pray,prestg80,preteen,punsin,race,racecen1,raclive,realinc,reborn,reg16,region,relactiv,relate1,relate2,relexp,relexper,relhh1,relhh2,relhhd1,relhhd2,relig,relig16,reliten,rellife,relpersn,res16,respnum,rotapple,rplace,rvisitor,sampcode,sample,satfin,savesoul,sei,sex,sibs,size,spaneng,sprtprsn,srcbelt,teens,trust,union,unrelat,version,visitors,vote04,weekswrk,whoelse1,whoelse2,whoelse3,whoelse4,whoelse5,whoelse6,widowed,wksub,wksup,wrkgovt,wrkslf,wrkstat,wtss,wtssall,wtssnr,xnorcsiz,year,zodiac
0,1.0,2240.0,5.0,,1.0,31.0,2.0,0.0,2.0,1.0,2.0,,0.0,3.0,1979.0,1.0,66247.5,3.0,3.0,731.0,3.0,8.0,1.0,16.0,38.0,38.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,,6.0,4.0,2.0,,1.0,5.0,1.0,4.0,15.0,1.0,1.0,2.0,12.0,21.0,710.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,1100.0,2411.0,111.0,5.0,1.0,1.0,1.0,1.0,2.0,23.0,31.0,,1.0,1.0,8.0,1.0,2.0,6.0,3.0,3.0,65.0,0.0,2.0,3.0,16.0,1.0,42735.0,2.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,501.0,9.0,2.0,1.0,76.400001525878906,1.0,2.0,8008.0,1.0,2.0,1.0,0.0,2.0,4.0,,2.0,0.0,1.0,52.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,0.84205031394958496,0.84205031394958496,0.87061166763305664,1.0,2010.0,5.0
1,1.0,2240.0,5.0,,1.0,23.0,0.0,0.0,,1.0,1.0,2.0,0.0,2.0,1987.0,1.0,13048.75,1.0,1.0,514.0,3.0,8.0,1.0,16.0,7.0,7.0,1.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,,1.0,0.0,3.0,,1.0,1.0,1.0,4.0,1.0,1.0,2.0,3.0,10.0,11.0,842.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,2190.0,1229.0,78.0,5.0,3.0,1.0,2.0,2.0,2.0,14.0,22.0,,2.0,1.0,0.0,1.0,3.0,6.0,2.0,6.0,64.0,0.0,3.0,1.0,1.0,1.0,8417.5,2.0,9.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,4.0,4.0,4.0,,4.0,5.0,1.0,4.0,1.0,1.0,501.0,9.0,2.0,2.0,85.099998474121094,2.0,3.0,8008.0,1.0,3.0,1.0,0.0,1.0,4.0,,2.0,0.0,3.0,16.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,1.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,9.0
2,2.0,2240.0,4.0,,1.0,71.0,4.0,0.0,1.0,,2.0,,3.0,1.0,1939.0,3.0,17063.75,1.0,2.0,518.0,0.0,8.0,0.0,8.0,38.0,38.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,,6.0,4.0,3.0,3.0,1.0,5.0,1.0,4.0,11.0,1.0,3.0,3.0,11.0,13.0,401.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,9851.0,8323.0,75.0,3.0,3.0,1.0,1.0,2.0,1.0,808.0,70.0,,1.0,1.0,8.0,0.0,,6.0,,2.0,32.0,0.0,2.0,2.0,2.0,1.0,11007.5,2.0,0.0,2.0,7.0,1.0,,2.0,2.0,1.0,,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,501.0,9.0,3.0,1.0,29.799999237060547,2.0,5.0,8008.0,1.0,3.0,1.0,0.0,,,,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,2.0,2.0,5.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,8.0
3,2.0,2240.0,2.0,,1.0,82.0,4.0,0.0,1.0,3.0,2.0,2.0,5.0,2.0,1928.0,2.0,7227.0,2.0,2.0,423.0,0.0,8.0,1.0,10.0,22.0,22.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,,3.0,4.0,3.0,,1.0,5.0,1.0,4.0,3.0,1.0,4.0,2.0,8.0,8.0,,46.0,3.0,15.0,1.0,2.0,0.52328765392303467,,,70.0,2.0,3.0,1.0,2.0,2.0,1.0,,79.0,,2.0,1.0,0.0,6.0,2.0,3.0,2.0,2.0,,0.0,1.0,1.0,1.0,1.0,4662.0,2.0,0.0,2.0,4.0,1.0,,2.0,2.0,1.0,,1.0,,2.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,501.0,9.0,1.0,2.0,,2.0,10.0,8008.0,2.0,3.0,1.0,0.0,2.0,4.0,,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,5.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,1.0
4,1.0,2241.0,1.0,1.0,2.0,78.0,6.0,0.0,1.0,1.0,2.0,2.0,8.0,3.0,1932.0,1.0,,1.0,2.0,324.0,0.0,3.0,2.0,0.0,39.0,39.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,5.0,,,,60.0,58.0,3.0,11.0,,1.0,1.0,9510.0,7122.0,152.0,1.0,3.0,1.0,2.0,1.0,2.0,563.0,75.0,73.0,2.0,1.0,8.0,3.0,2.0,3.0,3.0,2.0,36.0,0.0,1.0,2.0,2.0,1.0,,1.0,0.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,501.0,9.0,3.0,1.0,29.399999618530273,2.0,6.0,8008.0,1.0,2.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,2.0,5.0,0.92625534534454346,0.92625534534454346,0.9576728343963623,1.0,2010.0,9.0
5,1.0,2241.0,5.0,,1.0,40.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,1970.0,3.0,9033.75,3.0,2.0,613.0,0.0,7.0,1.0,6.0,29.0,29.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,,,4.0,2.0,,1.0,2.0,1.0,4.0,1.0,1.0,6.0,1.0,9.0,9.0,760.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,8720.0,7212.0,32.0,5.0,3.0,1.0,1.0,1.0,1.0,783.0,39.0,,2.0,1.0,8.0,0.0,3.0,6.0,3.0,6.0,42.0,0.0,3.0,2.0,2.0,1.0,5827.5,2.0,0.0,2.0,1.0,1.0,,2.0,2.0,1.0,,1.0,,4.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,501.0,9.0,2.0,2.0,32.299999237060547,1.0,11.0,8008.0,1.0,3.0,1.0,0.0,2.0,4.0,,2.0,0.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,2.0,2.0,4.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,9.0
6,1.0,2241.0,3.0,,1.0,46.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,1964.0,1.0,66247.5,1.0,2.0,502.0,2.0,3.0,1.0,16.0,39.0,39.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,,5.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,7.0,3.0,12.0,21.0,60.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,2190.0,1229.0,30.0,3.0,3.0,1.0,1.0,1.0,2.0,19.0,45.0,,2.0,1.0,8.0,2.0,2.0,3.0,5.0,1.0,51.0,0.0,3.0,2.0,2.0,1.0,42735.0,2.0,0.0,2.0,3.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,2.0,3.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,501.0,9.0,2.0,2.0,63.5,2.0,2.0,8008.0,1.0,2.0,1.0,0.0,3.0,4.0,,3.0,0.0,3.0,52.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,3.0
7,1.0,2241.0,2.0,,1.0,80.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1930.0,1.0,17063.75,1.0,2.0,406.0,2.0,8.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,6.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,8.0,3.0,11.0,13.0,831.0,58.0,3.0,11.0,,1.0,1.0,710.0,2230.0,88.0,2.0,1.0,1.0,2.0,2.0,1.0,95.0,79.0,,2.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,66.0,0.0,1.0,2.0,2.0,1.0,11007.5,1.0,2.0,2.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,501.0,9.0,3.0,1.0,73.199996948242188,2.0,2.0,8008.0,1.0,2.0,1.0,0.0,,,,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,1.0,2.0,5.0,0.46312767267227173,0.46312767267227173,0.47883641719818115,1.0,2010.0,1.0
8,2.0,2241.0,1.0,1.0,4.0,31.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1979.0,1.0,,1.0,3.0,703.0,1.0,4.0,4.0,14.0,39.0,39.0,1.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,4.0,1.0,1.0,3.0,2.0,204.0,11.0,1.0,7.0,9.0,4.0,,,840.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,,,70.0,1.0,3.0,1.0,2.0,2.0,2.0,,63.0,49.0,2.0,1.0,8.0,0.0,3.0,3.0,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,,1.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,501.0,9.0,3.0,1.0,,2.0,1.0,8008.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,,52.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.3682012557983398,3.3682012557983398,3.4824466705322266,1.0,2010.0,1.0
9,2.0,2241.0,3.0,5.0,3.0,,5.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,,2.0,,3.0,2.0,319.0,1.0,7.0,3.0,14.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,2.0,23.0,3.0,47.0,3.0,10.0,2.0,,,870.0,50.0,2.0,1.0,2.0,2.0,0.52328765392303467,5900.0,3460.0,132.0,5.0,3.0,1.0,1.0,3.0,2.0,467.0,55.0,32.0,2.0,1.0,8.0,,1.0,3.0,1.0,1.0,47.0,0.0,1.0,2.0,2.0,1.0,,1.0,0.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,42.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,501.0,9.0,2.0,1.0,31.200000762939453,2.0,7.0,8008.0,1.0,1.0,1.0,0.0,,,0.0,1.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.38938307762146,1.38938307762146,1.4365092515945435,1.0,2010.0,
